path,country,kind,departure_state,has_departures_section,has_waitlist_section,book_cta_is_anchor,booking_links,has_price,price_min,word_count,has_product_schema,title_len,meta_desc_len
/italien/opera-verona,italien,trip,A bookable online,1,1,1,1,1,10495,2405,1,57,163
/italien/vidunderlige-norditalien,italien,trip,A bookable online,1,1,1,2,1,11995,2122,1,52,171
/schweiz/toppen-af-alperne-med-gletsjer-ekspressen,schweiz,trip,"E departures section, no visible state",1,1,1,0,1,20495,2643,1,58,171
/marokko/marokko-blandt-berbere-og-beduiner,marokko,trip,A bookable online,1,1,1,1,1,17495,4159,1,58,163
/italien/vesuvs-arkaeologiske-skygge,italien,trip,A bookable online,1,1,1,6,1,11995,2977,1,56,176
/italien/puccini-operarejse-til-toscana,italien,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2263,1,64,158
/italien/vidunderlige-toscana,italien,trip,A bookable online,1,1,1,3,1,9995,2783,1,64,173
/italien/gardasoeens-herligheder,italien,trip,A bookable online,1,1,1,2,1,9995,2636,1,59,184
/portugal/nytaarsrejse-til-madeira,portugal,trip,A bookable online,1,1,1,1,1,17495,4367,1,69,163
/graekenland/unik-rundrejse-paa-peloponnes,graekenland,trip,A bookable online,1,1,1,1,1,15095,3417,1,61,180
/oman/oman-det-fortryllende-oerkenland,oman,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,2963,1,61,154
/irland/fortryllende-irland,irland,trip,A bookable online,1,1,1,2,1,15995,4302,1,59,171
/cypern/cypern-afrodites-smukke-oe,cypern,trip,A bookable online,1,1,1,1,1,11495,2123,1,58,168
/italien/klassiske-sicilien,italien,trip,A bookable online,1,1,1,2,1,15495,3485,1,58,174
/portugal/paa-opdagelse-i-portugal,portugal,trip,A bookable online,1,1,1,3,1,15495,4637,1,70,160
/portugal/porto-og-douro-dalens-herligheder,portugal,trip,A bookable online,1,1,1,2,1,13695,4331,1,63,198
/portugal/cascais-portugals-riviera,portugal,trip,A bookable online,1,1,1,2,1,7695,2753,1,64,178
/italien/vin-og-gastronomi-i-piemonte,italien,trip,A bookable online,1,1,1,1,1,13995,2147,1,62,140
/skotland/vandreferie-i-skotland,skotland,trip,A bookable online,1,1,1,2,1,15995,4102,1,54,153
/frankrig/sydfranske-eventyr-i-provence,frankrig,trip,A bookable online,1,1,1,2,1,13495,2786,1,62,182
/flodkrydstogter/flodkrydstogt-paa-rhinen,flodkrydstogter,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3195,1,56,154
/flodkrydstogter/flodkrydstogt-paa-seinen,flodkrydstogter,trip,A bookable online,1,1,1,1,1,16995,3298,1,63,167
/italien/nytaar-i-det-historiske-rom,italien,trip,A bookable online,1,1,1,1,1,11995,1852,1,57,166
/albanien/autentiske-albanien,albanien,trip,A bookable online,1,1,1,1,1,12295,2570,1,54,170
/portugal/mageloese-madeira,portugal,trip,A bookable online,1,1,1,34,1,10995,6771,1,64,184
/spanien/andalusiens-herligheder,spanien,trip,A bookable online,1,1,1,2,1,7495,2368,1,66,185
/sri-lanka/klassiske-sri-lanka,sri-lanka,trip,A bookable online,1,1,1,1,1,26995,5452,1,65,165
/england/sydenglands-stolthed-og-charme-fra-stonehenge-og-shakespeare-til-downton-abbey,england,trip,D empty (Afgange ikke tilgængelige),1,1,1,0,0,,3050,1,65,174
